case_number,source,prompt,evaluation_seed
20603,coco-30k,A group of kids play on a grassy area and lift their arms up as a Frisbee is just above their heads.,39528
20604,coco-30k,Skateboarder wearing all black going up a wooden ramp on his board. ,80121
20605,coco-30k,broccoli being sauteed in a pan with a wooden spoon,27911
20606,coco-30k,A small garden area features a few springs of growth and a small busy plant and a few bricks.,94044
20607,coco-30k,A man holds a black plate with a square skull in front of his face.,18178
20608,coco-30k,a little bear standing between a couple of tree branches,27005
20609,coco-30k,Two zebra standing next to each other on a dry grass field.,14089
20610,coco-30k,"a teenager playing in a skate park with a skateboard
",96366
20611,coco-30k,Two zebra standing next to each other on a dirt field.,247
20612,coco-30k,"pans filled with assorted veggies, fruit and rice",60677
20613,coco-30k,A basket full of fresh grown carrots next to other vegetables.,7282
20614,coco-30k,@ couple of kids walking in the snow,20706
20615,coco-30k,Two zebras forage on the ground for food in a wildlife exhibit.,90243
20616,coco-30k,The horses are out for a walk on the road.,77763
20617,coco-30k,A red bowl full of vegetables sitting on a table.,3242
20618,coco-30k,A large white dead polar bear on display in a museum.,25174
20619,coco-30k,A young man riding a skateboard on a stone wall.,68184
20620,coco-30k,A man riding a black hose in the snow through a forest.,13577
20621,coco-30k,A brown dog walking through a dry grass covered field.,78254
20622,coco-30k,A man riding a brown horse down a race track.,45504
20623,coco-30k,A man walking on top of a baseball field wearing a catchers mitt.,76380
20624,coco-30k,a man holding onto a surfboard while standing next to a tree,61628
20625,coco-30k,A herd of zebra standing on a field filled with tall dry grass.,43527
20626,coco-30k,A field filled with baseball players playing a game of baseball.,18725
20627,coco-30k,A man standing next to a sled with baggage on top of it.,58791
20628,coco-30k,A group of young children riding skateboards in a building.,65511
20629,coco-30k,A group of skiers skiing in a line with spectators on the side.,44932
20630,coco-30k,A man riding a skateboard on top of a stone walkway.,97147
20631,coco-30k,A boy standing on skis in the snow.,26266
20632,coco-30k,A man swinging a baseball bat during a baseball game.,69988
20633,coco-30k,A man flying through the air while riding a skateboard.,62844
20634,coco-30k,A person riding skis through a forest covered in snow.,48929
20635,coco-30k,A plate of food with vegetables and meat.,14006
20636,coco-30k,A white bowl filled with salad and plastic eating utensils.,95878
20637,coco-30k,A man riding a skateboard on top of a cement bench.,25389
20638,coco-30k,A young man riding a skateboard down a yellow hand rail.,11505
20639,coco-30k,A man flying through the air riding a skateboard.,69983
20640,coco-30k,horses grazing on a lush green field surrounded by trees.,908
20641,coco-30k,A man rides a horse across an open field.,72918
20642,coco-30k,A baseball player pitching a baseball during a game.,2303
20643,coco-30k,A pretty young lady standing on skis on a snow covered ski slope.,55100
20644,coco-30k,A man throwing a frisbee in a dry grass covered forest,5898
20645,coco-30k,A pile of eggplant for sale at a market.,39499
20646,coco-30k,Two very sexy women in bikinis riding horses in the ocean.,45484
20647,coco-30k,A couple of men riding horses down a rocky path.,45206
20648,coco-30k,A person wearing blue shoes riding a skateboard.,44247
20649,coco-30k,A pork roast in a glass dish surrounded by potatoes and carrots.,73249
20650,coco-30k,Two wine glasses and bread on top of a piece of paper,50263
20651,coco-30k,A man riding a skateboard up the side of a cement ramp.,58660
20652,coco-30k,An old man making duck lips while holding an orange.,34939
20653,coco-30k,A man wearing a hat standing next to a pile of produce.,21610
20654,coco-30k,A group of baseball players standing on a field next to each other.,32926
20655,coco-30k,Two baseball players work out on the field.,3554
20656,coco-30k,A man flying on the back of a boy while holding a white frisbee.,54053
20657,coco-30k,A ballplayer on deck practicing for his turn at bat,30391
20658,coco-30k,A group of horsss running around a field.,45399
20659,coco-30k,A young man doing a skateboard trick outside.,33001
20660,coco-30k,Two young baseball players in blue uniforms standing in right field,62426
20661,coco-30k,A man comes off a pole from doing a skateboard trick.,90145
20662,coco-30k,Fresh fruit and vegetables have been gathered from the market,86775
20663,coco-30k,A man in white skiing in the snow.,63776
20664,coco-30k,A costumed mascot with a floppy ears and a tail holding up a disc in a sports arena.,7009
20665,coco-30k,A person standing in the stands at a baseball game,64857
20666,coco-30k,"Three zebras, possibly Jacksonville-Grevy, two facing camera with one in background.",15282
20667,coco-30k,A stove top with food being prepared on it ,19850
20668,coco-30k,A man on a motorbike carrying a large stalk of bananas off a tree.,19835
20669,coco-30k,A person on a snowboard is in the air preparing to land on a snowy slope.,92619
20670,coco-30k,A young male skateboarder practicing a ramp stunt.,35360
20671,coco-30k,A cake is pictured that is a combined Friday the 13th and Valentine's Day Chocolate Layer Cake.,3718
20672,coco-30k,A baseball player has just thrown a pitch.,67040
20673,coco-30k,A young baseball player throwing out a pitch,50310
20674,coco-30k,Makeshift skate park set up on a blocked off city street,51735
20675,coco-30k,There are some female athletes playing frisbee together,94185
20676,coco-30k,Some people sit in a carriage pulled by a horse. ,29603
20677,coco-30k,A young man wearing a red shirt riding a black skateboard.,29603
20678,coco-30k,A couple of young boys with skateboards pass a city bus,88861
20679,coco-30k,"A young man jumping up, doing a trick on a skateboard.",40915
20680,coco-30k,Friends playing a Frisbee game on a suburban soccer field,30933
20681,coco-30k,A bulldog looks at himself in a mirror. ,46693
20682,coco-30k,A panda bear eating something in an enclosure,82413
20683,coco-30k,A horse eats lush green grass by a wire fence,23724
20684,coco-30k,A horse pulling a coach in an indoor arena.,8729
20685,coco-30k,Outside a window of an old large house,62299
20686,coco-30k,A dog is posted by the window with his reflection in a mirror.,19370
20687,coco-30k,Two young child skiers are headed down a small slope.,65747
20688,coco-30k,A young person posing for a picture while on skis. ,30845
20689,coco-30k,A group of people are playing frisbee on the beach,16662
20690,coco-30k,A child is doing a trick on a skateboard.,68872
20691,coco-30k,A woman chopping vegetables in the kitchen looking at a recipe,15491
20692,coco-30k,A wooden stick figure is surrounded by fruit.,45936
20693,coco-30k,A person that is catching a frisbee in a gym.,80740
20694,coco-30k,Two people are in the snow on snow skis.,2326
20695,coco-30k,A little boy in mid swing at a baseball,65613
20696,coco-30k,A man power sliding on a long board ,30406
20697,coco-30k,A picture of some food on a plate,45478
20698,coco-30k,Two zebras stand together in a field. ,25275
20699,coco-30k,A man smiles while throwing a frisbee. ,94082
20700,coco-30k,A man is standing on the beach playing with a Frisbee ,62522
20701,coco-30k,A plate with potaotes and vegetables and meats on a plate,89499
20702,coco-30k,A man flying through the air while riding a skateboard.,44364
20703,coco-30k,A woman taking a picture of her rear view mirror with a dog sitting next to her.,4500
20704,coco-30k,A person that is catching a frisbee in the air.,11008
20705,coco-30k,A baseball game being played before a crowd.,30812
20706,coco-30k,A fork cutting into a piece of cake,27859
20707,coco-30k,People are playing frisbee and volleyball at the beach.,82770
20708,coco-30k,A man in a field ducking from a frisbee,7225
20709,coco-30k,A picture of some animals eating some grass.,57752
20710,coco-30k,Ants that are in selling oranges on a table.,47702
20711,coco-30k,Some animals that are standing in the grass together.,79844
20712,coco-30k,A man slicing up an apple on top of a wooden cutting board.,67231
20713,coco-30k,A man balances sideways on a white skateboard.,58171
20714,coco-30k,A young man riding a skateboard down a metal hand rail.,19764
20715,coco-30k,Two women are on a set of brown stairs.,68211
20716,coco-30k,A group of young children riding skis down a snow covered mountain.,11710
20717,coco-30k,A small herd of zebra walking on a lush green landscape.,98869
20718,coco-30k,A young man riding up the side of a dry swimming pol on a skateboard.,13668
20719,coco-30k,A group of three men walking horses on a paved country road.,81339
20720,coco-30k,A young person riding a skateboard in an empty water channel.,84951
20721,coco-30k,A woman and a man standing between two brown horses.,64399
20722,coco-30k,A glass dish filled with a banana split.,44843
20723,coco-30k,A group of men and women riding horses in the dark.,32244
20724,coco-30k,A snow covered forest on the side of a mountain.,50414
20725,coco-30k,A woman riding a skateboard down a sidewalk in front of a building.,22821
20726,coco-30k,A person in a green jacket skiing down a slope,60839
20727,coco-30k,Plastic container filled with oranges sitting on a green shelf.,75370
20728,coco-30k,A black-and-white photo of a baseball player in the outfield.,94219
20729,coco-30k,Apples and oranges sitting next to each other on a shelf.,42685
20730,coco-30k,A man flying through the air while riding skis.,26658
20731,coco-30k,A group of four people riding skis while holding ski poles.,50352
20732,coco-30k,This smiling skateboarder performs tricks in the skateboard park.,17765
20733,coco-30k,A man riding a skateboard over a metal rail in a parking lot.,86858
20734,coco-30k,A skateboarder doing tricks by a statue at night,6430
20735,coco-30k,And animal that is standing under a tree.,74290
20736,coco-30k,Fresh fruits and vegetables sit for sale at a store.,41670
20737,coco-30k,A young boy riding a skateboard on a street in front of a house.,52755
20738,coco-30k,a man on a skateboard skates on the sides of a skate bowl,60845
20739,coco-30k,Brown baskets filled with lots of oranges on display at a grocery store.,22324
20740,coco-30k,A man standing next to a stone wall while holding a skateboard.,67379
20741,coco-30k,close up of three bananas on top of a bowl of fruit,34872
20742,coco-30k,Horse drawn carriages lined up in the street. ,42041
20743,coco-30k,A mesh fruit bowl with oranges bananas and tomatoes,68465
20744,coco-30k,A person that is riding a skateboard on the street.,85386
20745,coco-30k,Two dogs in the backyard with blowup toys.,86665
20746,coco-30k,A man standing in the ocean and a red Frisbee in flight.,55137
20747,coco-30k,A man posing for a picture while holding a skateboard.,62412
20748,coco-30k,A group of young people wearing ski equipment while standing on a snow covered ski slope.,63307
20749,coco-30k,A pitcher and glasses made out of pottery,92001
20750,coco-30k,A lone skateboarder balancing on steps in practice area of a park.,72066
20751,coco-30k,A red plate topped with broccoli and meatballs.,63919
20752,coco-30k,A recliner chair sitting next to a table with a lamp.,41767
20753,coco-30k,Two young boys enjoying the action at a local skate park.,28223
20754,coco-30k,a tub of apples and a box of bananas ,67921
20755,coco-30k,A baseball player taking a swing at a ball,39732
20756,coco-30k,A young boy on the skateboard at the skate park.,6564
20757,coco-30k,A jockey riding a horse on a horse racing track.,17898
20758,coco-30k,A man riding skis down a snow covered ski slope.,86733
20759,coco-30k,A three pronged fork sits on a white plate.,82394
20760,coco-30k,The two zebras are eating grass on the plain.,62132
20761,coco-30k,Two brown horses standing side by side behind a wooden fence.,76607
20762,coco-30k,A group of people playing Frisbee in a field.,12877
20763,coco-30k,A square white plate topped with meat and veggies.,30094
20764,coco-30k,People skiing in the snow on the mountainside.  ,77363
20765,coco-30k,A white plate topped with orange peel slices.,37724
20766,coco-30k,Two zebra grazing on grass next to each other.,56856
20767,coco-30k,Two zebras made of Lego stand in a field.,64723
20768,coco-30k,Two men riding horses along the body of water.,12455
20769,coco-30k,A group of baseball players playing a game of baseball.,31928
20770,coco-30k,A close-up of a waffle shaped cone with a banana in it.,79651
20771,coco-30k,Three Zebras grazing on the grass in a field.,53302
20772,coco-30k,A white dog is on a sandy beach while the sea foam washes ashore behind it.,65681
20773,coco-30k,A white and gray dog sits on a bed near a pile of rumpled sheets.,94252
20774,coco-30k,A family climbing up the side of a snow covered mountain with ski equipment.,18879
20775,coco-30k,A dog laying on top of a bed next to a window.,49971
20776,coco-30k,A man wearing skis on a mountain slope.,38159
20777,coco-30k,A baseball batter up to plate about to hit the ball.,40914
20778,coco-30k,A man riding a skateboard in a skate park.,34686
20779,coco-30k,Bunches of bananas hanging from the ceiling of a produce market.,30740
20780,coco-30k,A man on a skateboard doing a trick. ,93346
20781,coco-30k,A close up of the man holding a large knife against an animal.,63373
20782,coco-30k,A herd of  zebra running around a dirt field.,33197
20783,coco-30k,A white plate with rice and vegetables with wooden chop sticks.,95009
20784,coco-30k,A blue glass plate topped with cheese and broccoli.,71116
20785,coco-30k,A baseball batter at the end of the swing.,91188
20786,coco-30k,A street scene with a horse pulling a white carriage.,78187
20787,coco-30k,A photo of two people skiing on the snow.,88589
20788,coco-30k,a close up of a plate of food like peas and broccoli ,4624
20789,coco-30k,Four zebras facing the same way drinking from a water hole.,53776
20790,coco-30k,Three demonic looking dummies standing next to each other on a snow covered slope.,30745
20791,coco-30k,A banana sitting on top of a counter next to glass pots.,461
20792,coco-30k,"A trash can filled with a hot dog, a banana and other garbage.",73256
20793,coco-30k,A bowl filled with food on top of a wooden table.,11165
20794,coco-30k,A bowl filled with ripe fruit sitting on top of a table.,18518
20795,coco-30k,A group of horses tied up to post under a big green tree.,84482
20796,coco-30k,A counter topo filled with different types of vegetables.,31546
20797,coco-30k,A woman riding a brown horse through a tree covered road.,79153
20798,coco-30k,A baseball player swinging a baseball bat on a baseball field.,20601
20799,coco-30k,A baseball player holding a bat during a game.,67357
20800,coco-30k,A brown and white dog standing next to another dog.,90254
20801,coco-30k,A zebra reaching its head into a car to lick a passengers legs.,36147
20802,coco-30k,Two brown horses standing next to a white horse on a snow covered field.,27587
20803,coco-30k,A herd of zebra standing on a lush green field.,88371
20804,coco-30k,A little girl wearing safety gear while standing on a skate park.,82264
20805,coco-30k,A man riding a skateboard across a street.,89056
20806,coco-30k,A person riding a skateboard on top of a tennis court at night.,12337
20807,coco-30k,Three people standing next to each other holding ski equipment.,26445
20808,coco-30k,little dude shredding the gnar on flat ground,70432
20809,coco-30k,some zebra chillin in the wild with a bird flying over,6705
20810,coco-30k,Skies skiing near a chair lift and a mountain behind.,50443
20811,coco-30k,three zebras and a gazelle drinking at a watering hole,2637
20812,coco-30k,A baseball player with one leg kicked up preparing to throw a ball,4495
20813,coco-30k,A baseball player hits a hard fly ball.,45244
20814,coco-30k,two women in swimsuits riding horses in the water,64693
20815,coco-30k,A boy with a monkey backpack throws a Frisbee.,21620
20816,coco-30k,"Zebras grazing in enclosed area, probably a zoo.  ",54358
20817,coco-30k,Two men on skateboards on  the pavement,28889
20818,coco-30k,A plate of food with a cream sauce on it,29622
20819,coco-30k,A skateboarder is making a rim turn and resting on edge.,45211
20820,coco-30k,A female horse rider mounted near a body of water and mountains.,76716
20821,coco-30k,A herd of zebra are taking a stance while posing for a photo.,24498
20822,coco-30k,A skateboarder is in mid air while descending a concrete ramp.,40857
20823,coco-30k,A little boy sits in front of several tortilla pizzas.,6314
20824,coco-30k,A skateboarder does an impressive trick in the air.,11402
20825,coco-30k,a close up of a sheet of pizza on a table ,70443
20826,coco-30k,a person riding a skate board ata skate park,60444
20827,coco-30k,three horses standing next to each other in a field of grass,10049
20828,coco-30k,A young woman in makeup is holding a sandwich.,41330
20829,coco-30k,a person riding a snow board falling to the ground,57176
20830,coco-30k,A zebra is focused on a photographer to give a face front view.,32946
20831,coco-30k,A man throwing a baseball at a baseball game,66917
20832,coco-30k,A young man playing frisbee while people watch.,47035
20833,coco-30k,Two children look at a large black bear in a zoo.,68082
20834,coco-30k,meat and veggies in a wavy purple bowl,13010
20835,coco-30k,Some sunscreen that is sitting on the table.,78248
20836,coco-30k,A zebra is standing outside in the snow,77130
20837,coco-30k,"A plate of food containing carrots, oranges and avocados",97582
20838,coco-30k,six different shots of horses and people standing on the street,30803
20839,coco-30k,A plate with dozens of bananas stacked high.,11192
20840,coco-30k,A picture of a kid picking up a ball.,31489
20841,coco-30k,A close-up of a plate of pasta containing broccoli.,88668
20842,coco-30k,A picture of some food on a plate.,24096
20843,coco-30k,An adult teaching a young person how to ski in the mountains,43318
20844,coco-30k,A small  red bowl with ingredients in it,94742
20845,coco-30k,People that are on the beach by some horses.,11359
20846,coco-30k,A picture of a person and a horse in the street.,53059
20847,coco-30k,Baseball players watching whats going on in the field,2476
20848,coco-30k,A man in a baseball uniform throwing a baseball bat.,79157
20849,coco-30k,A mother zebra with a baby zebra as it nurses off her tit.,18216
20850,coco-30k,Dog running in a park with a frisbee in his mouth.,61688
20851,coco-30k,A pile of stir fried meat and vegetables covered in a sauce.,75443
20852,coco-30k,A person walking into a store with four dogs close behind.,71213
20853,coco-30k,A fruit stand with many varieties of fruit with price signs.,73063
20854,coco-30k,A pair of horses running through a grassy field,89783
20855,coco-30k,A mama horse walking in front of a baby horse.,80917
20856,coco-30k,A herd of zebra standing next to each other on a grass covered field.,46449
20857,coco-30k,A German shepherd resting its head on the floor. ,69374
20858,coco-30k,A young boy riding skis down a slope,99147
20859,coco-30k,Extremely ripe banana being put into a saucepan in a kitchen,12563
20860,coco-30k,Two people on the beach are playing Frisbee. ,34025
20861,coco-30k,A man is riding a horse and buggy on the beach.,67627
20862,coco-30k,A group of people racing down a snow covered slope.,91699
20863,coco-30k,A close-up of a zebra looking back behind him.,77444
20864,coco-30k,A woman in tight blue jeans standing next to a brown horse.,38174
20865,coco-30k,"A plate holds prepared food, including bread and vegetable.",38549
20866,coco-30k,A man is throwing a Frisbee on the beach.,49190
20867,coco-30k,A group of zebras up against one another,48030
20868,coco-30k,A tall sandwich with pickle on a white plate.,37246
20869,coco-30k,A plate of spaghetti with broccoli and mushrooms,71875
20870,coco-30k,Three dogs in a fenced in area together with a dirt ground.,3225
20871,coco-30k,The two bowls have a salad in them.,74386
20872,coco-30k,The man is walking up the stairs near a horse and rider statue.,19533
20873,coco-30k,A man riding a skate board up a metal rail.,17205
20874,coco-30k,The two zebras are standing on the plain.,17349
20875,coco-30k,A person reaching out to pet a horse with hills and fields in the background.,84083
20876,coco-30k,A frying pan on the stove containing broccoli.,63434
20877,coco-30k,A skateboarder in the background doing a trick.,7766
20878,coco-30k,A herd of zebras standing around on the dirt.,40181
20879,coco-30k, man riding on water skis being towed behind a boat.,10351
20880,coco-30k,"A plate of fruit containing oranges, apples and bananas.",98687
20881,coco-30k,A plate with a banana and slices of cheese.,18622
20882,coco-30k,A close up of several zebras grazing in a field.,67880
20883,coco-30k,A group of women looking at a display of baked goods that is outside under a pavilion.,5231
20884,coco-30k,Two zebra grazing the grass in their enclosure. ,13035
20885,coco-30k,A picture of an Apple computer with a black background.,88165
20886,coco-30k,A person that is doing a trick in the air.,35551
20887,coco-30k,"A couple of horse, zebra mutants standing in a field of grass surrounded by a crowd.",45454
20888,coco-30k,An assortment of foods arranged on a plate.,86458
20889,coco-30k,A close-up of a plate of pasta and meat with a piece of broccoli.,44847
20890,coco-30k,A lot of food that are in some baskets.,79371
20891,coco-30k,A lot of people that are on some horses.,70457
20892,coco-30k,A lot of oranges that are in some boxes.,49027
20893,coco-30k,A man skiing down the side of a snow covered ski slope.,4912
20894,coco-30k,A lot of food that are in some baskets.,42753
20895,coco-30k,Three men standing next to each other on a snow covered slope.,93714
20896,coco-30k,A large black bear walking across a grass covered field.,46424
20897,coco-30k,A man in uniform with a sword riding a horse.,43593
20898,coco-30k,A walk way filled with white containers containing apples.,14767
20899,coco-30k,A group of skiers adjusts their gear during a heavy snow.,11178
20900,coco-30k,A table topped with bowls filled with different vegetables.,54604
20901,coco-30k,A person riding a snowboard on a snow covered slope.,74670
20902,coco-30k,A skateboarder leans while going down the street,55558
20903,coco-30k,an image of ripe bananas being hung in the air at an outdoor market,1857
20904,coco-30k,a child hitting a baseball with a baseball bat.,65356
20905,coco-30k,A polar bear in a zoo nibbling on a branch,9184
20906,coco-30k,A boy in a baseball cap holding baseball mitt. ,82301
20907,coco-30k,A photograph of a cross country skier in a greenish tint light.,76786
20908,coco-30k,A skier is taking a turn while surrounded by snowy hills.,901
20909,coco-30k,Two equestrians riding their horses on the beach together.,2076
20910,coco-30k,The little boy sits on the ground next to the skateboard.,57904
20911,coco-30k,a close up of a young baseball player fielding a baseball,72122
20912,coco-30k,a polar bear fully submerged in a small body of water,1581
20913,coco-30k,A zebra and a rhino interacting in the wild. ,37007
20914,coco-30k,A collage of boys dressed as baseball fans.,7483
20915,coco-30k,a group of people standing next to a building with a large dog,6315
20916,coco-30k,A skier with poles extended skiing by a flag post.,68969
20917,coco-30k,A snowy slope and tree line with one person skiing down.,47871
20918,coco-30k,A man and a woman are in the snow with helmets.,83332
20919,coco-30k,A fenced in pasture with four horses standing around eating grass. ,25655
20920,coco-30k,Two brown grizzly bears are rearing up and fighting.,60672
20921,coco-30k,A man throws a baseball on a baseball diamond.,24829
20922,coco-30k,A man working on ski bindings with other ski gear around in a living area,96134
20923,coco-30k,A produce stand shows a minimal amount of frui.,1623
20924,coco-30k,A man coaching a tee ball practice. ,63066
20925,coco-30k,a person talking a pic of pizza on the counter,38918
20926,coco-30k,A horse and carriage is on a quiet street as a woman walks down the sidewalk.,25626
20927,coco-30k,There is a knife cutting into a cake.,17453
20928,coco-30k,a person on skis with ski poles skis in snow,67665
20929,coco-30k,A boy in a black cap is suspended in the air above a skateboard and a small staircase.,79902
20930,coco-30k,A pair of skiers on the top of a ski slope with clouds and large mountain in the background.,99821
20931,coco-30k,A woman is holding a bowl made of bananas on her head,41688
20932,coco-30k,There are two yellow lemons and five green lemons and also two oranges,28785
20933,coco-30k,a person skating on some pieces of wood ,60630
20934,coco-30k,A bowl of stir fry with broccoli and tofu with chop sticks. ,33688
20935,coco-30k,Two horses racing down a grass track with number 13 horse ahead of the number 9 horse.,43425
20936,coco-30k,a swiss army knife sitting on a table with a flash drive,80158
20937,coco-30k,a woman with short hair eating a banana ,76782
20938,coco-30k,Two zebras grazing on some grass with some shrubbery around them.,34372
20939,coco-30k,There are many bananas on a counter at a market,33582
20940,coco-30k,3 dogs sitting in front of a fruit and veggie stand.,75740
20941,coco-30k,Two skiers sliding down the hill on the pathway.,14174
20942,coco-30k,A man standing next to a zebra on a lawn.,63341
20943,coco-30k,A person cutting a slice of pizza with a fork and knife.,37449
20944,coco-30k,"A cup of coffee sitting next to a banana, apple and glass of orange juice.",6531
20945,coco-30k,There is a mom zebra and a baby zebra on a large field,36602
20946,coco-30k,This dog is playing frisbee in the snow,23384
20947,coco-30k,A baseball  player holding a baseball bat while wearing a red helmet.,96021
20948,coco-30k,Many horses stand in a field and eat grass,26721
20949,coco-30k,A white plate topped with different types of fruits and vegetables.,98170
20950,coco-30k,The woman has 2 frisbees to exercise her two dogs on a country road.,27602
20951,coco-30k,This man is cutting a large sheet  cake at the party.,20689
20952,coco-30k,A pile of assorted fruits and vegetables on a counter.,75272
20953,coco-30k,two bananas sitting on top of a table next to a white bowl.,20738
20954,coco-30k,Two skewers of vegetables and broccoli  on a plate,4387
20955,coco-30k,A horse is on a deserted sandy beach with umbrellas.,22333
20956,coco-30k,Some people that are hanging out in the snow.,8487
20957,coco-30k,A herd of zebra standing next to each other on a field.,84149
20958,coco-30k,A man hiking through a snow covered forest ,93108
20959,coco-30k,A man catching a white frisbee on a sandy beach.,50057
20960,coco-30k,A picture of a horse that is in some dirt.,86871
20961,coco-30k,a boy attemping a jump with his skateboard in a parking lot ,49381
20962,coco-30k,A group of people skiing down the side of a snow covered mountain.,42854
20963,coco-30k,Two large horses grazing in a large field.,17000
20964,coco-30k,A polar bear with its head under the water,21077
20965,coco-30k,Factory where bananas are being prepared for market,86014
20966,coco-30k,Cross-country skiers are getting their workout for the day.,59442
20967,coco-30k,A man standing in a dirt field surrounded by horses.,21247
20968,coco-30k,A group of young men playing a game of frisbee.,70367
20969,coco-30k,A man on skis skiing down a mountain slope.,31650
20970,coco-30k,A man riding a skateboard up the side of a ramp.,20944
20971,coco-30k,A man holding an apple between his fingers.,16252
20972,coco-30k,Some animals that are looking at something in front of them.,13894
20973,coco-30k,Benches of fruit on display at a market,57118
20974,coco-30k,A banana sitting on top of a black record.,12295
20975,coco-30k,Two men walking through a forest on a trail.,9404
20976,coco-30k,A young person riding a skateboard down the street,26096
20977,coco-30k,A person riding a skateboard next to the ocean.,37690
20978,coco-30k,A pair of bears climb up in a tree.,98342
20979,coco-30k,A fancy dish on a white plate at a restaurant.,17236
20980,coco-30k,A woman in jeans and a jacket on a horse riding through a large green field.,8235
20981,coco-30k,Some food that are in some bowls on a table.,52295
20982,coco-30k,A plate of cooked green vegetables and hot chilies. ,44209
20983,coco-30k,Two small white dogs looking out small windows of a building.,56301
20984,coco-30k,A couple of people that are posing for a picture.,27561
20985,coco-30k,A baseball player pitching a baseball on a field.,17449
20986,coco-30k,A dog hides underneath a bed with its face peeking out of the bed skirt.,72732
20987,coco-30k,A horse poses for a picture while walking through the desert.,18610
20988,coco-30k,some carrots radishes celery strawberries and other vegetables,60609
20989,coco-30k,A street lined with people on both sides and two men dressed in costume on horses.,24933
20990,coco-30k,A family standing next to each other while holding frisbees.,77385
20991,coco-30k,a blue plate with an orange a cracker some lettuce and a twist bar,5219
20992,coco-30k,A catcher kneels as a batter prepares for a pitch.,9584
20993,coco-30k,a green table some people oranges and bananas,92058
20994,coco-30k,a man in overalls thats painted yellow is holding a banana,73523
20995,coco-30k,A hand in a bowl full of broccoli.,20139
20996,coco-30k,A horse has a cover over its mouth,92425
20997,coco-30k,Two men smile as they ride horses on the beach.,36270
20998,coco-30k,A cats sits on the table with a dog outside.,12568
20999,coco-30k,Two zebras lower their heads to the ground to graze.,7333
21000,coco-30k,A small boy with blonde hair eats an apple,34452
21001,coco-30k,A batter sings his bat at a baseball game.,17420
21002,coco-30k,A guy standing next to a skateboard on a hillside.,80888
21003,coco-30k,The two zebras are fighting for their own territory.,62405
21004,coco-30k,A person riding a snowboard down a snow covered slope.,30913
21005,coco-30k,A man riding a skateboard up a colorful ramp.,74749
21006,coco-30k,A male skate boarder rides his skate board on a ramp,96508
21007,coco-30k,A woman is a green plate on top of her head with company in the house.,6581
21008,coco-30k,An adorable little girl riding skis on the snow.,69673
21009,coco-30k,A table topped with vegetables and a cook book.,25855
21010,coco-30k,A zebra grazing on grass on top of a dry field.,94204
21011,coco-30k,Grilled meat with veggies and potatoes on plate,22635
21012,coco-30k,different slices of banana cut in halve length wise,31063
21013,coco-30k,A young man is throwing out a pitch at a baseball game.,68218
21014,coco-30k,A boy in the pitcher's mound getting ready to throw the ball.,54545
21015,coco-30k,A close-up of an orange on the side of the road.,70927
21016,coco-30k,Two biscuit sandwiches sitting on a plate next to greens.,93206
21017,coco-30k,A brown horse standing on a  lush green field.,5527
21018,coco-30k,A baseball game in progress with the batter swinging.,30331
21019,coco-30k,A crowd of people shopping at a farmers market filled with fruit and vegetables.,63309
21020,coco-30k,A young man standing on a skateboard wearing a hat.,14122
21021,coco-30k,A group of people on skis standing around.,44577
21022,coco-30k,Skateboarder riding his board on a half pike.,526
21023,coco-30k,A person that is playing in a baseball game.,8329
21024,coco-30k,A knife sitting next to carrots on top of a cutting board.,1402
21025,coco-30k,A man riding skis down the side of a mountain.,9357
21026,coco-30k,A large brown bear swimming in a river.,83827
21027,coco-30k,A woman riding a horse next to a group of people.,90904
21028,coco-30k,a skateboarder in a black shirt is doing a trick,94370
21029,coco-30k,A couple of men playing a game of frisbee in a park.,23013
21030,coco-30k,A cute little girl riding a skateboard in a store.,72505
21031,coco-30k,a man throwing a white frisbee in a gym.,40829
21032,coco-30k,A baseball player throwing a baseball on a field.,50043
21033,coco-30k,A man riding a skateboard down the side of a road.,16484
21034,coco-30k,some baseball players are playing baseball a batter and a catcher,9211
21035,coco-30k,A baseball player pitching a baseball holding catcher mitt.,69335
21036,coco-30k,A meal consisting of two pieces of meat on skewers and greens and cheese.,88515
21037,coco-30k,A man riding a skateboard through the air next to a palm tree.,96136
21038,coco-30k,A crowd of people standing on snow covered ground.,57462
21039,coco-30k,A boy running across a field holding a catchers mitt.,39853
21040,coco-30k,A pile of stuffed animals hanging from the ceiling of a store.,61723
21041,coco-30k,A tall green and blue sculpture sitting in a park next to a skateboarder.,60289
21042,coco-30k,A hand holding a bunch of ripe nearly rotten bananas.,17078
21043,coco-30k,A person on skis in the snow pulling on a cord.,51684
21044,coco-30k,A zebra-print futon with red cushions in a student's room,5069
21045,coco-30k,"A white dish plated with corn, carrots, tomatoes, onions, olives, herbs and oil.",39325
21046,coco-30k,A man in green pants suspenders and a white shirt.,34829
21047,coco-30k,A brown horse standing next to a woman in front of a house.,91031
21048,coco-30k,an image of a lone zebra eating grass,76662
21049,coco-30k,a snowboarder and a snow skier are posing for a picture,88175
21050,coco-30k,a girl holding a frisbee in a pretty dress in the grass,43391
21051,coco-30k,a dog surrounded by a bunch of papers and books,66692
21052,coco-30k,"A young man with long hair, wearing all black, doing stunts on a skateboard.",77517
21053,coco-30k,A horse drawn buggy sits in front of pyramid shaped mosques.,90406
21054,coco-30k,A baseball player lower his glove for a ground ball.,68997
21055,coco-30k,Eleven carrots that were cleaned on a cutting board.,50505
